167,17
171,21
173,23
175,25
177,29
179,31
175,33
171,33
167,33
163,33
161,37
161,41
161,45
163,49
167,49
167,53
167,57
167,61
167,65
167,69
167,73
167,77
165,81
161,83
157,85
155,87
151,89
147,89
143,87
141,85
137,85
135,89
131,87
127,87
125,89
121,89
113,89
113,85
113,81
111,79
109,75
113,71
113,67
113,63
113,59
109,59
105,59
101,59
97,61
93,63
89,65
85,67
81,69
77,69
73,69
69,69
65,71
63,73
59,75
55,77
55,81
55,85
59,87
57,91
59,95
57,99
57,103
61,105
63,109
61,111
59,113
57,117
57,121
59,125
59,129
59,133
59,137
59,141
59,145
59,149
59,153
55,155
53,159
51,159
51,163
47,163
43,161
39,159
39,151
35,149
33,147
29,147
25,149
23,153
23,157
23,161
23,165
23,169
21,173
19,175
